시도,시군구,발생건수,사망자수,부상자수,중상,경상,부상신고
서울,종로구,63,0,110,18,83,9
서울,중구,70,1,104,25,65,14
서울,용산구,100,0,183,46,129,8
서울,성동구,85,1,156,32,119,5
서울,동대문구,97,1,162,39,116,7
서울,성북구,86,2,161,25,131,5
서울,도봉구,44,0,72,18,52,2
서울,은평구,79,0,137,28,108,1
서울,서대문구,58,0,98,11,79,8
서울,마포구,159,0,292,53,228,11
서울,강서구,137,2,265,57,196,12
서울,구로구,119,2,212,34,168,10
서울,영등포구,172,1,301,54,236,11
서울,동작구,79,1,155,37,105,13
서울,관악구,104,0,169,25,128,16
서울,강남구,373,1,677,151,510,16
서울,강동구,99,1,162,37,115,10
서울,송파구,199,2,344,65,241,38
서울,서초구,173,2,279,54,213,12
서울,양천구,91,0,152,23,116,13
서울,중랑구,82,1,122,18,95,9
서울,노원구,110,2,186,25,148,13
서울,광진구,107,4,173,28,133,12
서울,강북구,77,3,145,33,106,6
서울,금천구,93,0,188,27,150,11
부산,중구,21,0,35,9,24,2
부산,서구,16,1,28,3,20,5
부산,동구,21,0,40,8,26,6
부산,영도구,19,1,23,4,17,2
부산,부산진구,117,0,199,41,145,13
부산,동래구,48,0,69,17,49,3
부산,남구,45,2,67,15,49,3
부산,북구,43,1,80,18,58,4
부산,해운대구,93,2,169,34,124,11
부산,사하구,63,0,98,29,65,4
부산,금정구,37,0,54,14,35,5
부산,강서구,44,0,67,21,45,1
부산,연제구,33,0,57,11,46,0
부산,수영구,53,0,87,19,61,7
부산,사상구,52,2,94,23,63,8
부산,기장군,38,1,70,15,49,6
경기,수원시,543,0,921,155,726,40
경기,성남시,330,3,554,110,411,33
경기,의정부시,155,1,259,41,192,26
경기,안양시,175,0,306,57,236,13
경기,부천시,217,2,378,69,292,17
경기,안산시,350,4,629,108,505,16
경기,평택시,348,12,569,106,426,37
경기,광명시,70,1,132,22,97,13
경기,구리시,54,4,94,24,65,5
경기,양주시,71,3,134,25,106,3
경기,여주시,67,5,100,26,69,5
경기,화성시,327,6,550,109,423,18
경기,시흥시,234,1,389,73,296,20
경기,파주시,170,0,282,49,221,12
경기,고양시,375,0,666,125,513,28
경기,광주시,187,1,334,52,261,21
경기,연천군,17,0,34,7,27,0
경기,포천시,73,1,134,30,93,11
경기,가평군,38,3,71,14,50,7
경기,양평군,51,2,82,26,50,6
경기,이천시,108,1,190,35,145,10
경기,용인시,327,5,554,150,350,54
경기,안성시,97,3,166,40,113,13
경기,김포시,136,2,222,36,172,14
경기,동두천시,32,1,60,11,44,5
경기,과천시,14,0,20,1,16,3
경기,군포시,59,0,107,20,77,10
경기,남양주시,212,1,372,86,260,26
경기,오산시,133,0,222,40,171,11
경기,의왕시,60,0,99,30,62,7
경기,하남시,60,0,93,21,60,12
강원,춘천시,123,0,208,17,183,8
강원,원주시,201,3,354,68,277,9
강원,동해시,21,1,33,4,28,1
강원,강릉시,77,3,149,15,134,0
강원,속초시,42,1,68,17,49,2
강원,태백시,14,0,19,6,13,0
강원,삼척시,30,0,42,11,31,0
강원,홍천군,34,0,63,13,46,4
강원,횡성군,11,1,14,6,8,0
강원,영월군,7,2,14,4,6,4
강원,평창군,28,2,43,12,28,3
강원,정선군,11,0,18,7,11,0
강원,철원군,19,0,33,16,17,0
강원,화천군,9,0,10,4,5,1
