1. 생활폐기물 관리 구역 현황,,,,,,,,,,,,,,,,,
나. 시·군·구 생활폐기물 관리구역 현황,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
시도,시군구,전체행정구역,,,,생활폐기물 관리구역,,,,생활폐기물 관리제외지역,,,,관리제외지역 비율(%),,,
,,면적(㎢),인구(명),동(읍·면)수(개소),세대수(가구),면적(㎢),인구(명),동(읍·면)수(개소),세대수(가구),면적(㎢),인구(명),동(읍·면)수(개소),세대수(가구),면적비,인구비,동수비,세대수비
전국,합계,"100,448.26","53,090,684","3,491","22,481,466","99,649.48","53,068,696","3,489","22,469,275",798.78,"21,988",2,"12,191",0.8,0.0,0.1,0.1
서울,소계,605.24,"9,993,743",424,"4,327,605",605.24,"9,993,743",424,"4,327,605",0.00,0,0,0,0.0,0.0,0.0,0.0
,종로구,23.91,"161,869",17,"73,947",23.91,"161,869",17,"73,947",0.00,0,0,0,0.0,0.0,0.0,0.0
,중구,9.96,"136,488",15,"62,739",9.96,"136,488",15,"62,739",0.00,0,0,0,0.0,0.0,0.0,0.0
,용산구,21.87,"245,185",16,"110,126",21.87,"245,185",16,"110,126",0.00,0,0,0,0.0,0.0,0.0,0.0
,성동구,16.86,"308,979",17,"135,838",16.86,"308,979",17,"135,838",0.00,0,0,0,0.0,0.0,0.0,0.0
,광진구,17.06,"366,972",15,"164,428",17.06,"366,972",15,"164,428",0.00,0,0,0,0.0,0.0,0.0,0.0
,동대문구,14.22,"363,023",14,"164,191",14.22,"363,023",14,"164,191",0.00,0,0,0,0.0,0.0,0.0,0.0
,중랑구,18.50,"402,024",16,"181,579",18.50,"402,024",16,"181,579",0.00,0,0,0,0.0,0.0,0.0,0.0
,성북구,24.57,"454,744",20,"192,592",24.57,"454,744",20,"192,592",0.00,0,0,0,0.0,0.0,0.0,0.0
,강북구,23.60,"317,695",13,"144,277",23.60,"317,695",13,"144,277",0.00,0,0,0,0.0,0.0,0.0,0.0
,도봉구,20.66,"335,631",14,"138,508",20.66,"335,631",14,"138,508",0.00,0,0,0,0.0,0.0,0.0,0.0
,노원구,35.44,"537,303",19,"216,966",35.44,"537,303",19,"216,966",0.00,0,0,0,0.0,0.0,0.0,0.0
,은평구,29.71,"484,546",16,"207,681",29.71,"484,546",16,"207,681",0.00,0,0,0,0.0,0.0,0.0,0.0
,서대문구,17.63,"323,171",14,"140,157",17.63,"323,171",14,"140,157",0.00,0,0,0,0.0,0.0,0.0,0.0
,마포구,23.85,"385,925",16,"175,023",23.85,"385,925",16,"175,023",0.00,0,0,0,0.0,0.0,0.0,0.0
,양천구,17.41,"462,285",18,"177,256",17.41,"462,285",18,"177,256",0.00,0,0,0,0.0,0.0,0.0,0.0
,강서구,41.44,"598,273",20,"262,708",41.44,"598,273",20,"262,708",0.00,0,0,0,0.0,0.0,0.0,0.0
,구로구,20.12,"439,371",15,"176,568",20.12,"439,371",15,"176,568",0.00,0,0,0,0.0,0.0,0.0,0.0
,금천구,13.02,"251,820",10,"110,622",13.02,"251,820",10,"110,622",0.00,0,0,0,0.0,0.0,0.0,0.0
,영등포구,24.55,"400,986",18,"174,806",24.55,"400,986",18,"174,806",0.00,0,0,0,0.0,0.0,0.0,0.0
,동작구,16.35,"408,912",15,"180,753",16.35,"408,912",15,"180,753",0.00,0,0,0,0.0,0.0,0.0,0.0
,관악구,29.57,"500,094",21,"268,559",29.57,"500,094",21,"268,559",0.00,0,0,0,0.0,0.0,0.0,0.0
,서초구,46.98,"435,107",18,"173,199",46.98,"435,107",18,"173,199",0.00,0,0,0,0.0,0.0,0.0,0.0
,강남구,39.50,"550,209",22,"232,981",39.50,"550,209",22,"232,981",0.00,0,0,0,0.0,0.0,0.0,0.0
,송파구,33.87,"682,741",27,"278,711",33.87,"682,741",27,"278,711",0.00,0,0,0,0.0,0.0,0.0,0.0
,강동구,24.59,"440,390",18,"183,390",24.59,"440,390",18,"183,390",0.00,0,0,0,0.0,0.0,0.0,0.0
부산,소계,770.02,"3,459,840",206,"1,497,908",770.02,"3,459,840",206,"1,497,908",0.00,0,0,0,0.0,0.0,0.0,0.0
,중구,2.83,"43,844",9,"23,160",2.83,"43,844",9,"23,160",0.00,0,0,0,0.0,0.0,0.0,0.0
,서구,13.98,"110,106",13,"52,786",13.98,"110,106",13,"52,786",0.00,0,0,0,0.0,0.0,0.0,0.0
,동구,9.86,"89,959",12,"44,657",9.86,"89,959",12,"44,657",0.00,0,0,0,0.0,0.0,0.0,0.0
,영도구,14.20,"118,372",11,"54,859",14.20,"118,372",11,"54,859",0.00,0,0,0,0.0,0.0,0.0,0.0
,부산진구,29.67,"360,541",20,"166,865",29.67,"360,541",20,"166,865",0.00,0,0,0,0.0,0.0,0.0,0.0
,동래구,16.63,"272,214",13,"112,136",16.63,"272,214",13,"112,136",0.00,0,0,0,0.0,0.0,0.0,0.0
,남구,26.81,"280,411",17,"117,397",26.81,"280,411",17,"117,397",0.00,0,0,0,0.0,0.0,0.0,0.0
,북구,39.37,"293,412",13,"120,273",39.37,"293,412",13,"120,273",0.00,0,0,0,0.0,0.0,0.0,0.0
,해운대구,51.47,"410,126",18,"168,650",51.47,"410,126",18,"168,650",0.00,0,0,0,0.0,0.0,0.0,0.0
,사하구,41.77,"325,264",16,"138,790",41.77,"325,264",16,"138,790",0.00,0,0,0,0.0,0.0,0.0,0.0
,금정구,65.27,"243,535",17,"107,024",65.27,"243,535",17,"107,024",0.00,0,0,0,0.0,0.0,0.0,0.0
,강서구,181.49,"134,692",8,"53,731",181.49,"134,692",8,"53,731",0.00,0,0,0,0.0,0.0,0.0,0.0
,연제구,12.10,"210,221",12,"90,266",12.10,"210,221",12,"90,266",0.00,0,0,0,0.0,0.0,0.0,0.0
,수영구,10.21,"177,428",10,"81,452",10.21,"177,428",10,"81,452",0.00,0,0,0,0.0,0.0,0.0,0.0
,사상구,36.09,"223,036",12,"96,726",36.09,"223,036",12,"96,726",0.00,0,0,0,0.0,0.0,0.0,0.0
,기장군,218.27,"166,679",5,"69,136",218.27,"166,679",5,"69,136",0.00,0,0,0,0.0,0.0,0.0,0.0
대구,소계,883.49,"2,468,222",139,"1,031,251",883.49,"2,468,222",139,"1,031,251",0.00,0,0,0,0.0,0.0,0.0,0.0
,중구,7.06,"78,219",12,"38,418",7.06,"78,219",12,"38,418",0.00,0,0,0,0.0,0.0,0.0,0.0
,동구,182.14,"347,376",20,"152,545",182.14,"347,376",20,"152,545",0.00,0,0,0,0.0,0.0,0.0,0.0
,서구,17.33,"177,758",17,"82,733",17.33,"177,758",17,"82,733",0.00,0,0,0,0.0,0.0,0.0,0.0
,남구,17.43,"149,660",13,"74,588",17.43,"149,660",13,"74,588",0.00,0,0,0,0.0,0.0,0.0,0.0
,북구,93.98,"442,943",23,"180,115",93.98,"442,943",23,"180,115",0.00,0,0,0,0.0,0.0,0.0,0.0
