,,,소계,매립시설,기타시설,소계,인건비,차량운영비,장비구입비,위탁처리비,시설관리비,기타
전국,합계,"4,646,890,762","226,592,005","63,444,140","163,147,865","4,420,298,757","1,038,599,883","68,794,880","97,570,692","2,382,005,979","434,048,266","399,279,057"
서울,소계,"731,639,315","926,768",0,"926,768","730,712,547","139,040,192","11,205,218","24,004,332","414,650,956","17,344,788","124,467,061"
,종로구,"27,159,409",0,0,0,"27,159,409","555,429","976,818","2,304,000","6,301,352","487,915","16,533,895"
,중구,"11,632,733",0,0,0,"11,632,733",0,0,0,"11,632,733",0,0
,용산구,"32,825,500",0,0,0,"32,825,500","7,669,115","1,015,946","178,433","13,446,268","1,322,956","9,192,782"
,성동구,"39,250,924",0,0,0,"39,250,924","11,647,011","733,799",0,"16,914,286",0,"9,955,828"
,광진구,"36,459,252",0,0,0,"36,459,252","11,054,272","638,716","1,431,000","16,588,219",0,"6,747,045"
,동대문구,"30,637,744",0,0,0,"30,637,744","16,273,718","1,217,194","1,217,195","5,170,518","4,882,272","1,876,847"
,중랑구,"30,759,407",0,0,0,"30,759,407","4,577,837","410,214","2,104,584","21,870,952","1,043,077","752,743"
,성북구,"9,546,000",0,0,0,"9,546,000",0,0,0,"9,546,000",0,0
,강북구,"31,733,532",0,0,0,"31,733,532","8,839,947","1,283,729","11,630,275","8,735,253","833,302","411,026"
,도봉구,"26,765,336","926,768",0,"926,768","25,838,568","7,144,389","370,046","556,887","1,062,423","1,081,608","15,623,215"
,노원구,"9,091,984",0,0,0,"9,091,984",0,0,0,"6,472,895","20,000","2,599,089"
,은평구,"12,958,259",0,0,0,"12,958,259",0,0,0,"12,958,259",0,0
,서대문구,"16,755,741",0,0,0,"16,755,741","7,732,165","388,080","253,350","8,382,146",0,0
,마포구,"41,575,267",0,0,0,"41,575,267",0,0,0,"19,864,358","81,584","21,629,325"
,양천구,"26,058,450",0,0,0,"26,058,450","5,928,517","250,163","226,955","18,535,000","173,504","944,311"
,강서구,"12,682,449",0,0,0,"12,682,449","2,176,017",0,"145,645","8,687,738",0,"1,673,049"
,구로구,"14,158,458",0,0,0,"14,158,458",0,0,0,"14,158,458",0,0
,금천구,"9,235,528",0,0,0,"9,235,528",0,0,0,"9,235,528",0,0
,영등포구,"40,303,089",0,0,0,"40,303,089","11,097,612","697,240","858,000","22,358,983","130,688","5,160,566"
,동작구,"41,384,957",0,0,0,"41,384,957","7,379,202","394,201","879,000","22,971,879","383,216","9,377,459"
,관악구,"46,906,032",0,0,0,"46,906,032","13,819,894","1,482,447","364,306","17,239,923","510,553","13,488,909"
,서초구,"42,591,157",0,0,0,"42,591,157","6,327,281","351,241","1,348,627","32,141,219","2,300,017","122,772"
,강남구,"64,832,638",0,0,0,"64,832,638",0,0,0,"59,959,139","3,324,519","1,548,980"
,송파구,"47,598,610",0,0,0,"47,598,610","9,663,890","415,656","67,970","34,931,931","746,692","1,772,471"
,강동구,"28,736,859",0,0,0,"28,736,859","7,153,896","579,728","438,105","15,485,496","22,885","5,056,749"
부산,소계,"249,578,689",0,0,0,"249,578,689","73,666,616","1,901,453","3,280,716","155,457,677","2,167,190","13,105,037"
,중구,"9,390,874",0,0,0,"9,390,874","4,582,760","107,718","159,581","4,515,971","16,396","8,448"
,서구,"13,530,917",0,0,0,"13,530,917","3,535,558","161,367","250,035","7,758,917","420,731","1,404,309"
,동구,"11,093,505",0,0,0,"11,093,505","3,830,205","145,582","105,542","6,265,355","28,939","717,882"
,영도구,"12,708,302",0,0,0,"12,708,302","4,606,203","476,944","288,490","6,991,514","161,643","183,508"
,부산진구,"25,991,038",0,0,0,"25,991,038","8,431,597","14,823","269,202","14,397,694","291,713","2,586,009"
,동래구,"15,380,026",0,0,0,"15,380,026","3,732,487","112,186","228,799","11,283,452","23,102",0
,남구,"20,325,222",0,0,0,"20,325,222","6,788,314","107,414","122,515","9,912,000","70,042","3,324,937"
,북구,"16,004,699",0,0,0,"16,004,699","4,577,782","3,078","95,915","9,950,321","37,808","1,339,795"
,해운대구,"26,539,728",0,0,0,"26,539,728","8,082,194","229,097","763,674","16,193,730","179,720","1,091,313"
,사하구,"18,213,805",0,0,0,"18,213,805","5,430,656",0,0,"12,691,532","91,617",0
,금정구,"16,595,790",0,0,0,"16,595,790","3,942,876","135,165","50,500","11,176,327",0,"1,290,922"
,강서구,"10,607,147",0,0,0,"10,607,147","1,791,897","26,507","98,377","8,400,637","44,089","245,640"
,연제구,"13,784,374",0,0,0,"13,784,374","3,289,381","82,119","126,691","9,581,729","217,611","486,843"
