"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"대구광역시청",대구광역시 달성군 구지면 응암리 646,대구광역시 달성군 구지면 응암리 646,교통정보수집,1,200,자동차 진행 방면,,2016-11,053-803-4573,35.647368,128.415547,2020-03-18
"대구광역시청",대구광역시 달성군 구지면 화산리 704,대구광역시 달성군 구지면 화산리 704,교통정보수집,1,200,자동차 진행 방면,,2016-11,053-803-4573,35.664422,128.399093,2020-03-18
"대구광역시청",대구광역시 동구 국채보상로 827,대구광역시 동구 신천3동 850-6,교통단속,1,130,버스전용차로 차량 진행방면,,1999-11,053-803-4887,35.868391,128.620699,2020-03-18
"대구광역시청",대구광역시 동구 국채보상로 827,대구광역시 동구 신천3동 850-6,교통단속,1,130,버스전용차로 차량 진행방면,,1999-11,053-803-4887,35.868391,128.620699,2020-03-18
"대구광역시청",대구광역시 북구 관문동 618-49,대구광역시 북구 관문동 618-49,교통단속,1,130,버스전용차로 차량 진행방면,,2000-04,053-803-4887,35.902207,128.547110,2020-03-18
"대구광역시청",대구광역시 동구 아양로 245,대구광역시 동구 신암동 1575,교통단속,1,130,버스전용차로 차량 진행방면,,2003-02,053-803-4887,35.887162,128.639758,2020-03-18
"대구광역시청",대구광역시 동구 아양로 245,대구광역시 동구 신암동 1575,교통단속,1,130,버스전용차로 차량 진행방면,,2003-02,053-803-4887,35.887162,128.639758,2020-03-18
"대구광역시청",대구광역시 북구 관문동 618-49,대구광역시 북구 관문동 618-49,교통단속,1,130,버스전용차로 차량 진행방면,,2003-02,053-803-4887,35.902207,128.547110,2020-03-18
"대구광역시청",대구광역시 동구 동촌로 127,대구광역시 동구 검사동 908-5,교통단속,1,130,버스전용차로 차량 진행방면,,2004-01,053-803-4887,35.886081,128.655665,2020-03-18
"대구광역시청",대구광역시 동구 동촌로 127,대구광역시 동구 검사동 908-5,교통단속,1,130,버스전용차로 차량 진행방면,,2004-01,053-803-4887,35.886081,128.655665,2020-03-18
"대구광역시청",대구광역시 수성구 동대구로 154,대구광역시 수성구 황금2동 613,교통단속,1,130,버스전용차로 차량 진행방면,,2004-01,053-803-4887,35.844169,128.625579,2020-03-18
"대구광역시청",대구광역시 수성구 동대구로 154,대구광역시 수성구 황금2동 613,교통단속,1,130,버스전용차로 차량 진행방면,,2006-02,053-803-4887,35.844169,128.625579,2020-03-18
"대구광역시청",대구광역시 달서구 달구벌대로329길 17,대구광역시 달서구 감삼동 55-5,교통단속,1,130,버스전용차로 차량 진행방면,,2007-11,053-803-4887,35.854356,128.545107,2020-03-18
"대구광역시청",대구광역시 달서구 달구벌대로329길 17,대구광역시 달서구 감삼동 55-5,교통단속,1,130,버스전용차로 차량 진행방면,,2007-11,053-803-4887,35.854356,128.545107,2020-03-18
"대구광역시청",대구광역시 중구 성내2동 205-2,대구광역시 중구 성내2동 205-2,교통단속,1,130,버스전용차로 차량 진행방면,,2007-11,053-803-4887,35.876421,128.587995,2020-03-18
"대구광역시청",대구광역시 중구 성내2동 205-2,대구광역시 중구 성내2동 205-2,교통단속,1,130,버스전용차로 차량 진행방면,,2007-11,053-803-4887,35.876421,128.587995,2020-03-18
"대구광역시청",대구광역시 중구 국채보상로139길 1,대구광역시 중구 동인동2가 177-4,교통단속,1,130,버스전용차로 차량 진행방면,,2012-12,053-803-4887,35.869323,128.606192,2020-03-18
"대구광역시청",대구광역시 중구 국채보상로139길 1,대구광역시 중구 동인동2가 177-4,교통단속,1,130,버스전용차로 차량 진행방면,,2012-12,053-803-4887,35.869323,128.606192,2020-03-18
"대구광역시청",대구광역시 수성구 달구벌대로 2500,대구광역시 수성구 범어동 835,교통단속,1,130,버스전용차로 차량 진행방면,,2012-12,053-803-4887,35.858865,128.635623,2020-03-18
"대구광역시청",대구광역시 수성구 달구벌대로 2500,대구광역시 수성구 범어동 835,교통단속,1,130,버스전용차로 차량 진행방면,,2012-12,053-803-4887,35.858865,128.635623,2020-03-18
"대구광역시청",대구광역시 서구 국채보상로43길 15,대구광역시 서구 평리동 1495,교통단속,1,130,버스전용차로 차량 진행방면,,2013-11,053-803-4887,35.873029,128.553118,2020-03-18
"대구광역시청",대구광역시 서구 국채보상로43길 15,대구광역시 서구 평리동 1495,교통단속,1,130,버스전용차로 차량 진행방면,,2013-11,053-803-4887,35.873029,128.553118,2020-03-18
"대구광역시청",대구광역시 북구 칠곡중앙대로 180,대구광역시 북구 태전동 799-3,교통단속,1,150,버스전용차로 차량 진행방면,,2014-12,053-803-4887,35.912076,128.548828,2020-03-18
"대구광역시청",대구광역시 북구 칠곡중앙대로 180,대구광역시 북구 태전동 799-3,교통단속,1,150,버스전용차로 차량 진행방면,,2014-12,053-803-4887,35.912076,128.548828,2020-03-18
"대구광역시청",대구광역시 수성구 달구벌대로 2487,대구광역시 수성구 범어2동 170-1,교통단속,1,150,버스전용차로 차량 진행방면,,2016-12,053-803-4887,35.859278,128.634672,2020-03-18
"대구광역시청",대구광역시 수성구 달구벌대로 2530,대구광역시 수성구 범어동 211-21,교통단속,1,150,버스전용차로 차량 진행방면,,2016-12,053-803-4887,35.858580,128.639533,2020-03-18
"대구광역시청",대구광역시 중구 동덕로 127,대구광역시 중구 삼덕동2가 105-1,교통단속,1,200,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.866035,128.603131,2020-03-18
"대구광역시청",대구광역시 중구 달구벌대로 2074-1,대구광역시 중구 남산동 483,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.865742,128.589838,2020-03-18
"대구광역시청",대구광역시 중구 달구벌대로 2074-1,대구광역시 중구 남산동 483,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.865742,128.589838,2020-03-18
"대구광역시청",대구광역시 중구 달구벌대로 2126,대구광역시 중구 봉산동 127-3,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.863178,128.596556,2020-03-18
"대구광역시청",대구광역시 중구 달구벌대로 2126,대구광역시 중구 봉산동 127-3,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.863178,128.596556,2020-03-18
"대구광역시청",대구광역시 동구 동북로 306,대구광역시 동구 신암동 648-2,교통단속,1,200,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.891996,128.622289,2020-03-18
"대구광역시청",대구광역시 동구 안심로 389-2,대구광역시 동구 신서동 520-1,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.870772,128.727449,2020-03-18
"대구광역시청",대구광역시 동구 안심로 389-2,대구광역시 동구 신서동 520-1,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.870772,128.727449,2020-03-18
"대구광역시청",대구광역시 동구 동부로 148,대구광역시 동구 신천동 328-2,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.877525,128.628387,2020-03-18
"대구광역시청",대구광역시 동구 동부로 148,대구광역시 동구 신천동 328-2,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.877525,128.628387,2020-03-18
"대구광역시청",대구광역시 동구 화랑로 51,대구광역시 동구 신천동 477-2,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.870597,128.632621,2020-03-18
"대구광역시청",대구광역시 동구 화랑로 51,대구광역시 동구 신천동 477-2,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.870597,128.632621,2020-03-18
"대구광역시청",대구광역시 동구 효목로 30,대구광역시 동구 효목동 553-3,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.874447,128.639885,2020-03-18
"대구광역시청",대구광역시 동구 효목로 30,대구광역시 동구 효목동 553-3,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.874447,128.639885,2020-03-18
"대구광역시청",대구광역시 동구 효목로 16,대구광역시 동구 효목동 543,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.874447,128.639885,2020-03-18
"대구광역시청",대구광역시 동구 효목로 16,대구광역시 동구 효목동 543,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.874447,128.639885,2020-03-18
"대구광역시청",대구광역시 동구 화랑로 419,대구광역시 동구 방촌동 1118-123,교통단속,1,200,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.876664,128.668631,2020-03-18
"대구광역시청",대구광역시 동구 반야월로 138,대구광역시 동구 신기동 178-3,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.872585,128.705678,2020-03-18
"대구광역시청",대구광역시 동구 반야월로 138,대구광역시 동구 신기동 178-3,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.872585,128.705678,2020-03-18
"대구광역시청",대구광역시 서구 국채보상로 252,대구광역시 서구 평리동 1334-6,교통단속,1,200,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.871738,128.559182,2020-03-18
"대구광역시청",대구광역시 서구 국채보상로 185,대구광역시 서구 평리동 1527-16,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.869834,128.550519,2020-03-18
"대구광역시청",대구광역시 서구 국채보상로 185,대구광역시 서구 평리동 1527-16,교통단속,1,130,불법 주정차 예상위치 방면,,2009-02,053-803-4887,35.869834,128.550519,2020-03-18
