시도,시군구,폐기물 종류,,,"2019년
발생량",총계,,,,공공처리,,,,자가처리,,,,위탁처리,,,
,,,,,,재활용,소각,매립,기타,재활용,소각,매립,기타,재활용,소각,매립,기타,재활용,소각,매립,기타
전국,합계,합계,EMPTY,EMPTY,"45,912.1","25,887.2","13,101.4","6,753.5",170.0,"10,598.1","11,688.5","6,380.7",63.4,89.9,1.3,2.7,1.1,"15,199.2","1,411.6",370.1,105.5
,,종량제방식 등 혼합배출,소계,EMPTY,"20,971.1","2,227.1","12,205.1","6,447.8",91.1,"1,710.4","11,164.0","6,107.7",45.8,0.0,0.0,0.0,0.0,516.7,"1,041.1",340.1,45.3
,,,가연성,소계,"18,031.9","2,062.9","11,310.9","4,575.4",82.7,"1,590.7","10,335.5","4,302.5",39.4,0.0,0.0,0.0,0.0,472.2,975.4,272.9,43.3
,,,,폐지류,"4,870.2",429.9,"3,214.5","1,220.5",5.3,386.4,"2,994.2","1,145.6",5.3,0.0,0.0,0.0,0.0,43.5,220.3,74.9,0.0
,,,,폐합성수지류,"4,416.5",578.3,"2,755.2","1,078.2",4.8,464.3,"2,377.5","1,005.5",4.5,0.0,0.0,0.0,0.0,114.0,377.7,72.7,0.3
,,,,폐고무류,511.9,101.2,322.4,88.1,0.2,99.8,302.8,71.6,0.2,0.0,0.0,0.0,0.0,1.4,19.6,16.5,0.0
,,,,폐섬유류,880.9,56.1,622.3,201.8,0.7,46.5,598.1,195.5,0.7,0.0,0.0,0.0,0.0,9.6,24.2,6.3,0.0
,,,,음식물류 폐기물,"1,408.7",114.5,934.1,312.9,47.2,86.1,887.8,290.0,20.1,0.0,0.0,0.0,0.0,28.4,46.3,22.9,27.1
,,,,폐목재류,"1,186.0",281.8,744.2,151.6,8.4,60.1,705.4,133.1,0.5,0.0,0.0,0.0,0.0,221.7,38.8,18.5,7.9
,,,,기타,"4,757.7",501.1,"2,718.2","1,522.3",16.1,447.5,"2,469.7","1,461.2",8.1,0.0,0.0,0.0,0.0,53.6,248.5,61.1,8.0
,,,불연성,소계,"2,405.4",134.8,762.0,"1,503.4",5.2,107.8,705.4,"1,468.5",5.2,0.0,0.0,0.0,0.0,27.0,56.6,34.9,0.0
,,,,폐금속류,435.4,31.3,210.2,193.5,0.4,22.4,198.9,189.6,0.4,0.0,0.0,0.0,0.0,8.9,11.3,3.9,0.0
,,,,폐유리류,612.4,42.2,257.5,311.8,0.9,37.5,241.2,308.0,0.9,0.0,0.0,0.0,0.0,4.7,16.3,3.8,0.0
,,,,폐토사류,196.1,8.5,35.8,151.8,0.0,3.2,33.7,150.5,0.0,0.0,0.0,0.0,0.0,5.3,2.1,1.3,0.0
,,,,폐타일 및 도자기류,142.1,3.4,10.7,128.0,0.0,2.4,10.3,120.6,0.0,0.0,0.0,0.0,0.0,1.0,0.4,7.4,0.0
,,,,연탄재,143.5,15.0,10.9,114.5,3.1,13.4,9.4,112.4,3.1,0.0,0.0,0.0,0.0,1.6,1.5,2.1,0.0
,,,,기타,875.9,34.4,236.9,603.8,0.8,28.9,211.9,587.4,0.8,0.0,0.0,0.0,0.0,5.5,25.0,16.4,0.0
,,,건설폐재류,EMPTY,250.2,9.3,62.0,176.9,2.0,2.7,61.0,168.6,0.0,0.0,0.0,0.0,0.0,6.6,1.0,8.3,2.0
,,,기타(배출불명등),EMPTY,283.6,20.1,70.2,192.1,1.2,9.2,62.1,168.1,1.2,0.0,0.0,0.0,0.0,10.9,8.1,24.0,0.0
,,"재활용 
가능자원
 분리배출",소계,EMPTY,"11,802.2","10,927.8",658.6,157.0,58.8,"2,590.1",296.9,128.7,12.4,0.0,0.1,0.1,0.0,"8,337.7",361.6,28.2,46.4
,,,폐지류,종이팩,473.5,473.5,0.0,0.0,0.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.4,0.0,0.0,0.0
,,,,기타,"3,015.7","3,015.7",0.0,0.0,0.0,217.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,798.2",0.0,0.0,0.0
,,,고철류,EMPTY,"1,014.5","1,014.5",0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970.5,0.0,0.0,0.0
,,,금속캔,EMPTY,395.6,395.6,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.6,0.0,0.0,0.0
,,,폐합성수지류,비닐류,"1,210.9","1,210.9",0.0,0.0,0.0,348.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862.5,0.0,0.0,0.0
,,,,발포수지류,160.7,160.7,0.0,0.0,0.0,58.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.4,0.0,0.0,0.0
,,,,PET병,517.2,517.2,0.0,0.0,0.0,196.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.5,0.0,0.0,0.0
,,,,기타,715.5,715.5,0.0,0.0,0.0,292.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.3,0.0,0.0,0.0
,,,폐고무류,EMPTY,35.8,35.8,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.9,0.0,0.0,0.0
,,,폐유리병류,EMPTY,772.3,772.3,0.0,0.0,0.0,311.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.1,0.0,0.0,0.0
,,,폐의류,EMPTY,141.8,141.8,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.4,0.0,0.0,0.0
,,,폐섬유류,EMPTY,63.1,63.1,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.3,0.0,0.0,0.0
