시도,시군구,총계
강원,강릉시,45783500
강원,강원도,0
강원,고성군,8912292
강원,동해시,18777283
강원,삼척시,11424353
강원,소계,248488578
강원,속초시,6325859
강원,양구군,4874313
강원,양양군,8605603
강원,영월군,6075602
강원,원주시,42333391
강원,인제군,7409862
강원,정선군,6301838
강원,철원군,2448300
강원,춘천시,35797845
강원,태백시,10183581
강원,평창군,7937942
강원,홍천군,13542576
강원,화천군,4216952
강원,횡성군,7537486
경기,가평군,11077134
경기,고양시,58906517
경기,과천시,7743262
경기,광명시,38899214
경기,광주시,33772777
경기,구리시,21223273
경기,군포시,24939001
경기,김포시,28951104
경기,남양주시,55110037
경기,동두천시,9752404
경기,부천시,85539671
경기,성남시,78740040
경기,소계,1111862697
경기,수원시,89557517
경기,시흥시,44850006
경기,안산시,66401078
경기,안성시,12965609
경기,안양시,24000000
경기,양주시,27769794
경기,양평군,10820878
경기,여주시,7446500
경기,연천군,7348520
경기,오산시,21215397
경기,용인시,75763629
경기,의왕시,19575364
경기,의정부시,47446716
경기,이천시,18059354
경기,파주시,54556169
경기,평택시,35961043
경기,포천시,19670554
경기,하남시,9281749
경기,화성시,64518386
경남,거제시,20970720
경남,거창군,8357726
경남,경남도,0
경남,고성군,5239663
경남,김해시,38722715
경남,남해군,4844935
경남,밀양시,11691896
경남,사천시,10308123
경남,산청군,4223387
경남,소계,289067063
경남,양산시,7939051
경남,의령군,2149335
경남,진주시,29201891
경남,창녕군,4876222
경남,창원시,84855678
경남,통영시,37092488
경남,하동군,2151079
경남,함안군,6862732
경남,함양군,4810453
경남,합천군,4768969
경북,경산시,23018655
경북,경주시,29631224
경북,고령군,2482171
경북,구미시,51360941
경북,군위군,5695281
경북,김천시,31447686
경북,문경시,7866798
경북,봉화군,5142853
경북,상주시,7940098
경북,성주군,4189805
경북,소계,287017538
경북,안동시,13534974
경북,영덕군,2429246
경북,영양군,1986741
경북,영주시,7286041
경북,영천시,7632972
경북,예천군,4706693
경북,울릉군,4577916
경북,울진군,8293378
경북,의성군,5285317
경북,청도군,2940000
경북,청송군,2000000
경북,칠곡군,9971023
경북,포항시,47597725
광주,광산구,28641945
광주,광주시,15063738
광주,남구,15036343
광주,동구,10672225
광주,북구,20007869
광주,서구,15666463
광주,소계,105088583
대구,남구,15152168
대구,달서구,43892987
대구,달성군,10572000
대구,대구시,0
대구,동구,28388396
대구,북구,33782917
대구,서구,17270142
대구,소계,169940057
대구,수성구,6399060
대구,중구,14482387
대전,대덕구,13664002
대전,대전시,37509392
대전,동구,18894549
대전,서구,13083133
대전,소계,100225746
대전,유성구,13425850
대전,중구,3648820
부산,강서구,10607147
부산,금정구,16595790
부산,기장군,6733410
부산,남구,20325222
부산,동구,11093505
부산,동래구,15380026
부산,부산진구,25991038
부산,북구,16004699
부산,사상구,17537623
부산,사하구,18213805
부산,서구,13530917
부산,소계,249578689
부산,수영구,15142229
부산,연제구,13784374
부산,영도구,12708302
부산,중구,9390874
부산,해운대구,26539728
서울,강남구,64832638
서울,강동구,28736859
서울,강북구,31733532
서울,강서구,12682449
서울,관악구,46906032
서울,광진구,36459252
서울,구로구,14158458
서울,금천구,9235528
서울,노원구,9091984
서울,도봉구,26765336
서울,동대문구,30637744
서울,동작구,41384957
서울,마포구,41575267
서울,서대문구,16755741
서울,서초구,42591157
서울,성동구,39250924
서울,성북구,9546000
서울,소계,731639315
서울,송파구,47598610
서울,양천구,26058450
서울,영등포구,40303089
서울,용산구,32825500
서울,은평구,12958259
서울,종로구,27159409
서울,중구,11632733
서울,중랑구,30759407
세종,세종시,36260724
세종,소계,36260724
울산,남구,20393977
울산,동구,11487468
울산,북구,13797338
울산,소계,90798832
울산,울산시,15799314
울산,울주군,18181443
울산,중구,11139292
인천,강화군,4401000
